id,aisle_id,section_num,is_inventory,svg_x,svg_y,svg_width,svg_height,sort_order,created_at,updated_at
479,13,58,t,4084.3357,2712.7505,78.7,21.011726,0,2026-05-28 20:50:29.044278,2026-06-26 20:05:14.063
480,13,60,t,4166.183,2712.7505,78.31592,21.011726,0,2026-05-28 20:50:29.507114,2026-06-26 20:04:39.714
481,13,62,t,4247.603,2712.5742,78.62135,21.199568,0,2026-05-28 20:51:09.865351,2026-06-26 20:04:39.759
482,13,64,t,4329.1284,2712.5742,78.627785,21.099567,0,2026-05-28 20:51:31.063465,2026-06-26 20:04:39.8
483,13,51,t,3839.869,2613.2175,78.7,21.011726,0,2026-05-28 20:52:01.098731,2026-06-26 20:04:15.395
484,13,57,t,4084.4773,2613.2175,78.48282,21.09148,0,2026-05-28 20:52:01.100373,2026-06-26 20:04:15.519
485,13,55,t,4002.8772,2613.2175,78.6,21.191479,0,2026-05-28 20:52:01.100532,2026-06-26 20:04:15.478
486,13,53,t,3921.1772,2613.0415,78.6,21.267479,0,2026-05-28 20:52:01.101529,2026-06-26 20:04:15.438
487,13,61,t,4247.645,2613.0415,78.62135,21.36748,0,2026-05-28 20:52:01.172921,2026-06-26 20:04:15.638
488,13,63,t,4329.377,2613.0415,78.79125,21.267479,0,2026-05-28 20:52:01.173373,2026-06-26 20:04:15.688
489,13,59,t,4166.225,2613.2175,78.50541,21.29148,0,2026-05-28 20:52:01.177057,2026-06-26 20:04:15.572
490,13,49,t,3758.9297,2613.2175,77.81082,21.011726,0,2026-05-28 20:52:01.337336,2026-06-26 20:04:15.352
491,14,61,t,1555.1489,2841.5852,82.06961,21.2,0,2026-06-01 19:59:54.599757,2026-06-26 19:56:56.326
492,14,59,t,1640.2489,2841.3853,81.96961,21.31076,0,2026-06-01 19:59:54.60053,2026-06-26 19:56:56.288
493,14,57,t,1725.2489,2841.2961,81.8999,21.300058,0,2026-06-01 19:59:54.600817,2026-06-26 19:56:56.246
